step,total_steps,loss,reward_avg,avg_response_len
1,50,9.524389,0.500000,390.750000
1,50,-0.000000,0.000000,485.000000
2,50,10.443671,0.333333,532.000000
3,50,-0.000000,1.000000,187.833333
4,50,-0.000000,1.000000,188.333333
5,50,-4.901002,0.333333,228.666667
6,50,-0.000000,1.000000,323.166667
7,50,-0.000000,0.000000,675.333333
8,50,-0.000000,1.000000,204.000000
9,50,-0.000000,0.000000,491.333333
10,50,-0.000000,0.000000,388.166667
11,50,4.295295,0.500000,261.333333
12,50,-0.000000,0.000000,376.833333
13,50,-0.000000,0.000000,200.666667
14,50,-0.130457,0.833333,260.500000
15,50,-0.000000,1.000000,188.000000
16,50,-1.708993,0.666667,292.666667
17,50,-0.000000,0.000000,502.000000
18,50,-0.000000,1.000000,462.500000
19,50,-0.000000,1.000000,411.833333
20,50,0.711165,0.833333,486.500000
21,50,-0.000000,1.000000,361.666667
22,50,-5.549699,0.666667,558.000000
23,50,-0.000000,0.000000,637.833333
24,50,-17.466248,0.333333,638.333333
25,50,-0.000000,1.000000,306.000000
26,50,-0.000000,1.000000,320.500000
27,50,-9.577579,0.333333,402.166667
28,50,-0.000000,1.000000,255.833333
29,50,-0.000000,0.000000,563.833333
30,50,-0.000000,1.000000,388.833333
31,50,-0.000000,1.000000,319.500000
32,50,-1.793517,0.666667,352.000000
